material_id,symmetry,symmetry_number
mp-22693,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pmn2_1' number=31 point_group='mm2' symprec=0.1 version='1.16.2',31
mp-12751,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Cmcm' number=63 point_group='mmm' symprec=0.1 version='1.16.2',63
mp-381,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',221
mp-866186,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',221
mp-427,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',62
mp-18265,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fd-3m' number=227 point_group='m-3m' symprec=0.1 version='1.16.2',227
mp-20028,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',62
mp-21409,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',164
mp-4064,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',139
mp-8636,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-24428,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/m' number=11 point_group='2/m' symprec=0.1 version='1.16.2',11
mp-760339,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',139
mp-8045,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mcm' number=193 point_group='6/mmm' symprec=0.1 version='1.16.2',193
mp-7623,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4_12_12' number=92 point_group='422' symprec=0.1 version='1.16.2',92
mp-753474,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3m' number=166 point_group='-3m' symprec=0.1 version='1.16.2',166
mp-570832,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6/mmm' number=191 point_group='6/mmm' symprec=0.1 version='1.16.2',191
mp-23291,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',62
mp-1563,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Cmcm' number=63 point_group='mmm' symprec=0.1 version='1.16.2',63
mp-22792,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='F-43m' number=216 point_group='-43m' symprec=0.1 version='1.16.2',216
mp-13964,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4/nmm' number=129 point_group='4/mmm' symprec=0.1 version='1.16.2',129
mp-980905,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-762268,crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P1' number=1 point_group='1' symprec=0.1 version='1.16.2',1
mp-7573,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Immm' number=71 point_group='mmm' symprec=0.1 version='1.16.2',71
mp-20337,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Amm2' number=38 point_group='mm2' symprec=0.1 version='1.16.2',38
mp-1047145,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4_1/amd' number=141 point_group='4/mmm' symprec=0.1 version='1.16.2',141
mp-19722,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I-42m' number=121 point_group='-42m' symprec=0.1 version='1.16.2',121
mp-5372,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/c' number=15 point_group='2/m' symprec=0.1 version='1.16.2',15
mp-865582,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-1029592,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Ia-3' number=206 point_group='m-3' symprec=0.1 version='1.16.2',206
mp-4030,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Fmmm' number=69 point_group='mmm' symprec=0.1 version='1.16.2',69
mp-865234,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-1023923,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R3c' number=161 point_group='3m' symprec=0.1 version='1.16.2',161
mp-4152,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I-4' number=82 point_group='-4' symprec=0.1 version='1.16.2',82
mp-2949,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',139
mp-865888,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-862287,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-19308,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',164
mp-972088,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',139
mp-26,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-775906,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pbca' number=61 point_group='mmm' symprec=0.1 version='1.16.2',61
mp-2693,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-20539,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',221
mp-29806,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',139
mp-17045,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pbam' number=55 point_group='mmm' symprec=0.1 version='1.16.2',55
mp-20066,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pa-3' number=205 point_group='m-3' symprec=0.1 version='1.16.2',205
mp-975065,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3m' number=166 point_group='-3m' symprec=0.1 version='1.16.2',166
mp-865588,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-760401,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Cmmm' number=65 point_group='mmm' symprec=0.1 version='1.16.2',65
mp-150,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-1780,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',221
mp-1029375,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3m' number=166 point_group='-3m' symprec=0.1 version='1.16.2',166
mp-38006,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P-6m2' number=187 point_group='-6m2' symprec=0.1 version='1.16.2',187
mp-1486,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',221
mp-981382,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R32' number=155 point_group='32' symprec=0.1 version='1.16.2',155
mp-7432,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',164
mp-1783,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='F-43m' number=216 point_group='-43m' symprec=0.1 version='1.16.2',216
mp-23056,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3m' number=166 point_group='-3m' symprec=0.1 version='1.16.2',166
mp-11453,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-567510,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',164
mp-12741,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',62
mp-570886,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Ibam' number=72 point_group='mmm' symprec=0.1 version='1.16.2',72
mp-13503,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-7575,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='F-43m' number=216 point_group='-43m' symprec=0.1 version='1.16.2',216
mp-1029532,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',139
mp-4828,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-9716,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3c' number=167 point_group='-3m' symprec=0.1 version='1.16.2',167
mp-13682,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pbca' number=61 point_group='mmm' symprec=0.1 version='1.16.2',61
mp-684663,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Im-3m' number=229 point_group='m-3m' symprec=0.1 version='1.16.2',229
mp-266,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',139
mp-973415,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-3020,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',221
mp-30494,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-11822,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',221
mp-753679,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Cmm2' number=35 point_group='mm2' symprec=0.1 version='1.16.2',35
mp-18513,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',62
mp-5342,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I-42d' number=122 point_group='-42m' symprec=0.1 version='1.16.2',122
mp-569600,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='P-43m' number=215 point_group='-43m' symprec=0.1 version='1.16.2',215
mp-38280,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4_1/amd' number=141 point_group='4/mmm' symprec=0.1 version='1.16.2',141
mp-2327,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Cmcm' number=63 point_group='mmm' symprec=0.1 version='1.16.2',63
mp-7066,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',62
mp-556742,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-4673,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Cmcm' number=63 point_group='mmm' symprec=0.1 version='1.16.2',63
mp-6459,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3' number=148 point_group='-3' symprec=0.1 version='1.16.2',148
mp-21171,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-7543,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',164
mp-27971,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/m' number=176 point_group='6/m' symprec=0.1 version='1.16.2',176
mp-866279,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-24668,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mcm' number=140 point_group='4/mmm' symprec=0.1 version='1.16.2',140
mp-2199,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-16860,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3c' number=167 point_group='-3m' symprec=0.1 version='1.16.2',167
mp-5350,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I-4' number=82 point_group='-4' symprec=0.1 version='1.16.2',82
mp-3988,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Cmmm' number=65 point_group='mmm' symprec=0.1 version='1.16.2',65
mp-861910,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-20334,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pmmn' number=59 point_group='mmm' symprec=0.1 version='1.16.2',59
mp-1249,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4_2/mnm' number=136 point_group='4/mmm' symprec=0.1 version='1.16.2',136
mp-541404,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/m' number=12 point_group='2/m' symprec=0.1 version='1.16.2',12
mp-10437,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',139
mp-997042,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/m' number=11 point_group='2/m' symprec=0.1 version='1.16.2',11
mp-8256,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3' number=148 point_group='-3' symprec=0.1 version='1.16.2',148
mp-757031,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4_122' number=91 point_group='422' symprec=0.1 version='1.16.2',91
mp-5486,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',139
mp-865538,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-1474,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/m' number=12 point_group='2/m' symprec=0.1 version='1.16.2',12
mp-861639,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-30789,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',139
mp-14628,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3' number=148 point_group='-3' symprec=0.1 version='1.16.2',148
mp-20557,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',62
mp-971909,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-1002206,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-753802,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/m' number=12 point_group='2/m' symprec=0.1 version='1.16.2',12
mp-10824,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I-42m' number=121 point_group='-42m' symprec=0.1 version='1.16.2',121
mp-4198,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='P-43n' number=218 point_group='-43m' symprec=0.1 version='1.16.2',218
mp-8605,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P-6m2' number=187 point_group='-6m2' symprec=0.1 version='1.16.2',187
mp-1029536,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',62
mp-755066,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/c' number=14 point_group='2/m' symprec=0.1 version='1.16.2',14
mp-11507,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/m' number=87 point_group='4/m' symprec=0.1 version='1.16.2',87
mp-23137,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-1646,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-1147,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/m' number=12 point_group='2/m' symprec=0.1 version='1.16.2',12
mp-556562,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3mc' number=186 point_group='6mm' symprec=0.1 version='1.16.2',186
mp-562561,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/m' number=11 point_group='2/m' symprec=0.1 version='1.16.2',11
mp-15617,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mcm' number=140 point_group='4/mmm' symprec=0.1 version='1.16.2',140
mp-20004,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-10910,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Fddd' number=70 point_group='mmm' symprec=0.1 version='1.16.2',70
mp-12137,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',139
mp-8418,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',62
mp-2910,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4/mbm' number=127 point_group='4/mmm' symprec=0.1 version='1.16.2',127
mp-19279,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',164
mp-23155,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-1001828,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='F-43m' number=216 point_group='-43m' symprec=0.1 version='1.16.2',216
mp-21,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Im-3m' number=229 point_group='m-3m' symprec=0.1 version='1.16.2',229
mp-3567,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3m' number=166 point_group='-3m' symprec=0.1 version='1.16.2',166
mp-986716,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Ia-3' number=206 point_group='m-3' symprec=0.1 version='1.16.2',206
mp-11818,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-19385,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3cm' number=185 point_group='6mm' symprec=0.1 version='1.16.2',185
mp-866115,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-4720,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P-62m' number=189 point_group='-6m2' symprec=0.1 version='1.16.2',189
mp-995434,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pmm2' number=25 point_group='mm2' symprec=0.1 version='1.16.2',25
mp-5777,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Amm2' number=38 point_group='mm2' symprec=0.1 version='1.16.2',38
mp-30338,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',221
mp-1029733,crystal_system=<CrystalSystem.tri: 'Triclinic'> symbol='P-1' number=2 point_group='-1' symprec=0.1 version='1.16.2',2
mp-754900,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I-4m2' number=119 point_group='-42m' symprec=0.1 version='1.16.2',119
mp-3924,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-11583,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-17967,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',62
mp-1008929,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-15896,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Cc' number=9 point_group='m' symprec=0.1 version='1.16.2',9
mp-867216,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-771359,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Ia-3' number=206 point_group='m-3' symprec=0.1 version='1.16.2',206
mp-23189,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/m' number=176 point_group='6/m' symprec=0.1 version='1.16.2',176
mp-27691,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-22283,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',62
mp-867120,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-864657,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-30034,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',164
mp-2318,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',164
mp-753759,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Cmmm' number=65 point_group='mmm' symprec=0.1 version='1.16.2',65
mp-131,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-31498,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-29520,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/c' number=14 point_group='2/m' symprec=0.1 version='1.16.2',14
mp-22608,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',62
mp-30591,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='F-43m' number=216 point_group='-43m' symprec=0.1 version='1.16.2',216
mp-1029784,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/m' number=12 point_group='2/m' symprec=0.1 version='1.16.2',12
mp-193,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',139
mp-3805,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Cmmm' number=65 point_group='mmm' symprec=0.1 version='1.16.2',65
mp-30177,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',139
mp-1006226,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pbca' number=61 point_group='mmm' symprec=0.1 version='1.16.2',61
mp-1146,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',62
mp-30073,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Im-3' number=204 point_group='m-3' symprec=0.1 version='1.16.2',204
mp-610517,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/c' number=14 point_group='2/m' symprec=0.1 version='1.16.2',14
mp-989635,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/m' number=12 point_group='2/m' symprec=0.1 version='1.16.2',12
mp-18748,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fd-3m' number=227 point_group='m-3m' symprec=0.1 version='1.16.2',227
mp-9472,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-1345518,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',62
mp-774736,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Cc' number=9 point_group='m' symprec=0.1 version='1.16.2',9
mp-14070,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fd-3m' number=227 point_group='m-3m' symprec=0.1 version='1.16.2',227
mp-1444267,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3m' number=166 point_group='-3m' symprec=0.1 version='1.16.2',166
mp-603347,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pmma' number=51 point_group='mmm' symprec=0.1 version='1.16.2',51
mp-19929,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',225
mp-1595,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/m' number=12 point_group='2/m' symprec=0.1 version='1.16.2',12
mp-570922,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P-4m2' number=115 point_group='-42m' symprec=0.1 version='1.16.2',115
mp-13903,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3' number=148 point_group='-3' symprec=0.1 version='1.16.2',148
mp-2444,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',221
mp-567345,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2/m' number=10 point_group='2/m' symprec=0.1 version='1.16.2',10
mp-985287,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',194
mp-29379,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='P2_13' number=198 point_group='23' symprec=0.1 version='1.16.2',198
